,Unnamed: 0,"Дата (месяц, год)","Число дней добычи нефти, сут",Накопленно времени,"Дебит жидкости, м3/сут","Обводненность об., %","Дебит нефти, м3/сут",Дебит воды м3/сут
0,113,2015-05-01,4.0,4.0,72.0,2.7914614121510675,69.99014778325123,2.0098522167487687
1,113,2015-06-01,29.583333333333332,33.58333333333333,65.18535211267606,2.783739039793979,63.37076201768832,1.8145900949877327
2,113,2015-07-01,25.791666666666668,59.375,60.62423263327948,1.396902520498026,59.777371199592615,0.846861433686868
3,113,2015-08-01,30.916666666666668,90.29166666666667,58.97142857142857,1.3998307181457126,58.14592839935635,0.8255001720722145
4,113,2015-09-01,29.041666666666668,119.33333333333334,57.84447632711621,1.399194403222387,57.035119651773904,0.8093566753423086
5,113,2015-10-01,29.791666666666668,149.125,58.03972027972028,1.4005217630097488,57.22686136601281,0.8128589137074651
6,113,2015-11-01,27.583333333333332,176.70833333333334,58.00604229607251,1.3948657070782016,57.196935904051315,0.8091063920211924
7,113,2015-12-01,28.125,204.83333333333334,57.44,1.8128440366972478,56.3987023853211,1.041297614678899
8,113,2016-01-01,31.0,235.83333333333334,57.5516129032258,1.9267822736030829,56.44271862763378,1.1088942755920193
9,113,2016-02-01,28.958333333333332,264.7916666666667,56.87827338129496,1.4699524427150887,56.04218981235245,0.8360835689425113
10,113,2016-03-01,31.0,295.7916666666667,58.19032258064516,2.811639795517106,56.55422031382796,1.6361022668171958
11,113,2016-04-01,30.0,325.7916666666667,57.69,2.1423682409308693,56.45406776180698,1.2359322381930185
12,113,2016-05-01,27.25,353.0416666666667,44.35963302752293,2.7587556251222853,43.13585915609254,1.223773871430392
13,113,2016-06-01,30.0,383.0416666666667,43.373333333333335,4.637078550122029,41.362077796860405,2.011255536472928
14,113,2016-07-01,30.5,413.5416666666667,42.6327868852459,4.926776351473513,40.5323648230095,2.100422062236396
15,113,2016-08-01,30.208333333333332,443.75,34.530206896551725,4.045197740112995,33.13339174751607,1.396815149035652
16,113,2016-09-01,29.791666666666668,473.5416666666667,44.54937062937063,2.9299136165286312,43.24411255322289,1.3052580761477366
17,113,2016-10-01,30.75,504.2916666666667,41.954471544715446,3.61225422953818,40.43896937186107,1.5155021728543758
18,113,2016-11-01,26.583333333333332,530.875,44.339811912225706,1.8209255533199196,43.532416946821996,0.8073949654037075
19,113,2016-12-01,30.5,561.375,47.34098360655738,1.8637110016420362,46.458684486796415,0.8822991197609628
20,113,2017-01-01,30.833333333333332,592.2083333333334,47.935135135135134,2.09201667201026,46.93232411635746,1.0028110187776749
21,113,2017-02-01,27.958333333333332,620.1666666666667,51.56602086438152,6.428049671292915,48.25133142970981,3.3146894346717124
22,113,2017-03-01,30.958333333333332,651.1250000000001,61.117631224764466,2.9047976011994003,59.34228773903761,1.775343485726854
23,113,2017-04-01,30.0,681.1250000000001,67.02,8.499190002314279,61.32384286044896,5.69615713955103
24,113,2017-05-01,30.25,711.3750000000001,63.72231404958678,10.271341097370632,57.17717781841599,6.545136231170788
25,113,2017-06-01,30.0,741.3750000000001,61.81666666666666,9.107981220657276,56.18641627543036,5.630250391236306
26,113,2017-07-01,30.75,772.1250000000001,58.204878048780486,7.14332311305369,54.04711554219723,4.15776250658325
27,113,2017-08-01,30.791666666666668,802.9166666666667,57.47334235453315,5.044805841354132,54.573923822210205,2.899418532322947
28,113,2017-09-01,29.333333333333332,832.2500000000001,47.82954545454545,1.1374246668364316,47.28552040650971,0.5440250480357433
29,113,2017-10-01,30.666666666666668,862.9166666666667,47.439130434782605,1.4650822073905259,46.74410817544182,0.6950222593407838
30,113,2017-11-01,29.5,892.4166666666667,50.925423728813556,2.6782909205152374,49.56149272885083,1.3639309999627258
31,113,2017-12-01,26.75,919.1666666666667,48.39252336448598,10.272873194221509,43.42122080376832,4.971302560717661
32,113,2018-01-01,30.666666666666668,949.8333333333334,49.108695652173914,1.6737388024516737,48.28674435766558,0.8219512945083328
33,113,2018-02-01,26.458333333333332,976.2916666666667,49.15275590551181,2.144674663758633,48.09858920306717,1.054166702444637
34,115,2016-04-01,10.583333333333334,10.583333333333334,50.69291338582677,2.6245091961149,49.362473212237184,1.3304401735895848
35,115,2016-05-01,27.25,37.833333333333336,44.35963302752293,2.7587556251222853,43.13585915609254,1.223773871430392
36,115,2016-06-01,30.0,67.83333333333334,43.373333333333335,4.637078550122029,41.362077796860405,2.011255536472928
37,115,2016-07-01,30.5,98.33333333333334,42.6327868852459,4.926776351473513,40.5323648230095,2.100422062236396
38,115,2016-08-01,30.208333333333332,128.54166666666669,34.530206896551725,4.045197740112995,33.13339174751607,1.396815149035652
39,115,2016-09-01,29.791666666666668,158.33333333333334,44.54937062937063,2.9299136165286312,43.24411255322289,1.3052580761477366
40,115,2016-10-01,30.75,189.08333333333334,41.954471544715446,3.61225422953818,40.43896937186107,1.5155021728543758
41,115,2016-11-01,26.583333333333332,215.66666666666669,44.339811912225706,1.8209255533199196,43.532416946821996,0.8073949654037075
42,115,2016-12-01,30.5,246.16666666666669,47.34098360655738,1.8637110016420362,46.458684486796415,0.8822991197609628
43,115,2017-01-01,30.833333333333332,277.0,47.935135135135134,2.09201667201026,46.93232411635746,1.0028110187776749
44,115,2017-02-01,27.958333333333332,304.9583333333333,51.56602086438152,6.428049671292915,48.25133142970981,3.3146894346717124
45,115,2017-03-01,30.958333333333332,335.91666666666663,61.117631224764466,2.9047976011994003,59.34228773903761,1.775343485726854
46,115,2017-04-01,30.0,365.91666666666663,67.02,8.499190002314279,61.32384286044896,5.69615713955103
47,115,2017-05-01,30.25,396.16666666666663,63.72231404958678,10.271341097370632,57.17717781841599,6.545136231170788
48,115,2017-06-01,30.0,426.16666666666663,61.81666666666666,9.107981220657276,56.18641627543036,5.630250391236306
49,115,2017-07-01,30.75,456.91666666666663,58.204878048780486,7.14332311305369,54.04711554219723,4.15776250658325
50,115,2017-08-01,30.791666666666668,487.7083333333333,57.47334235453315,5.044805841354132,54.573923822210205,2.899418532322947
51,115,2017-09-01,29.333333333333332,517.0416666666666,47.82954545454545,1.1374246668364316,47.28552040650971,0.5440250480357433
52,115,2017-10-01,30.666666666666668,547.7083333333333,47.439130434782605,1.4650822073905259,46.74410817544182,0.6950222593407838
53,115,2017-11-01,29.5,577.2083333333333,50.925423728813556,2.6782909205152374,49.56149272885083,1.3639309999627258
54,115,2017-12-01,26.75,603.9583333333333,48.39252336448598,10.272873194221509,43.42122080376832,4.971302560717661
55,115,2018-01-01,30.666666666666668,634.6249999999999,49.108695652173914,1.6737388024516737,48.28674435766558,0.8219512945083328
56,115,2018-02-01,26.458333333333332,661.0833333333333,49.15275590551181,2.144674663758633,48.09858920306717,1.054166702444637
